clean_text,sentiment,label,score
mbg bikin anak lebih fokus belajar karena perutnya kosong,positive,1,0.5909278392791748
program mbg bantu orang tua apalagi penghasilannya pas pasan,positive,1,0.8520393967628479
seneng lihat anak dapat menu sehat sekolah jajan terus,positive,1,0.5557680726051331
menu mbg sekolahku lumayan variatif anak doyan sayur,positive,1,0.9978391528129578
mbg bikin jam makan lebih tertib anak rewel,negative,0,0.48751556873321533
sejak ada mbg anak lebih jarang beli minuman manis,positive,1,0.8510434627532959
mbg bagus karena pemerataan gizi mampu,positive,1,0.9792783260345459
mbg bikin anak lebih kuat ikut olahraga kegiatan sekolah,positive,1,0.6376943588256836
kalau ada edukasi gizi bareng mbg dampaknya makin kerasa,positive,1,0.9881445169448853
mbg bikin anak lebih semangat sekolah karena ada makan siang,positive,1,0.9638292789459229
bagus kalau menu mbg disusun bareng ahli gizi seimbang,positive,1,0.9279171824455261
mbg bikin anak gampang pusing karena telat makan,negative,0,0.9898173213005066
dukung mbg karena investasi kesehatan jangka panjang,positive,1,0.7628412842750549
kalau kebersihan dijaga mbg bermanfaat kesehatan,positive,1,0.9894647598266602
mbg bikin suasana kelas lebih kondusif karena anak kenyang,positive,1,0.9868084788322449
menu mbg ada buah keren jarang anak mau makan buah,negative,0,0.9525015950202942
mbg solusi buat anak daerah akses gizinya kurang,negative,0,0.6635077595710754
mbg bikin anak lebih jarang sakit semoga kualitasnya stabil,positive,1,0.936737596988678
kalau mbg tepat waktu jadwal belajar lebih nyaman,positive,1,0.9902703762054443
semoga mbg merata sampai sekolah kecil pelosok,positive,1,0.6829315423965454
program mbg bikin orang tua lebih tenang soal kebutuhan gizi,positive,1,0.5901297330856323
bagus kalau mbg ada evaluasi rutin makin tepat sasaran,positive,1,0.9860255122184753
mbg langkah nyata tinggal pengawasan kualitas dijaga,negative,0,0.4797292947769165
mbg bikin anak lebih jarang ngemil berlebihan,positive,1,0.6157534718513489
program mbg bikin anak lebih ceria gampang lemas,negative,0,0.7073965072631836
mbg bagus kalau porsinya pas lauknya cukup protein,positive,1,0.9969964027404785
